Partido,Total
COMUNISTA DE CHILE,45.882
PARTIDO DE LA GENTE,42.128
SOCIALISTA DE CHILE,40.312
RENOVACION NACIONAL,39.395
CONVERGENCIA SOCIAL,36.767
UNION DEMOCRATA INDEPENDIENTE,34.121
DEMOCRATA CRISTIANO,29.099
POR LA DEMOCRACIA,27.826
REVOLUCION DEMOCRATICA,26.624
RADICAL DE CHILE,26.353
REPUBLICANO DE CHILE,22.588
EVOLUCION POLITICA,17.151
FEDERACION REGIONALISTA VERDE,14.243
COMUNES,12.551
PARTIDO LIBERAL DE CHILE,8.627
PARTIDO SOCIAL CRISTIANO,5.468
PATRIA PROGRESISTA,3.561
MOVIMIENTO AMARILLOS POR CHILE,2.929
PARTIDO ALIANZA VERDE POPULAR,2.618
DEMOCRATAS CHILE,2.503
PARTIDO ACCION HUMANISTA,1.691
HUMANISTA,1.528
Total general,443.965
