Partido Pol’tico;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre
Partido Comunista;46.031;46.069;46.069;45.993;45.993;45.872;45.824;45.824;45.973;45.999;45.999
Partido de la Gente;45.276;45.144;45.144;44.558;44.558;42.619;42.285;42.285;41.986;41.785;41.785
Socialista;40.128;40.251;40.251;40.397;40.397;40.316;40.292;40.292;40.364;40.590;40.590
Convergencia Social;37.576;37.573;37.573;37.505;37.505;37.184;36.839;36.839;36.677;36.576;36.576
RN;35.900;35.873;35.873;35.848;35.848;39.816;39.655;39.655;39.340;39.246;39.246
UDI;34.922;34.878;34.878;34.709;34.709;34.304;34.165;34.165;34.118;34.094;34.094
DC;29.508;29.445;29.445;29.358;29.358;29.260;29.135;29.135;29.012;28.898;28.898
PPD;28.019;28.016;28.016;28.083;28.083;27.939;27.855;27.855;27.907;27.890;27.890
Revoluci—n Democr‡tica;27.408;27.497;27.497;27.437;27.437;27.084;26.722;26.722;26.552;26.443;26.443
Partido Radical;26.900;26.889;26.889;26.811;26.811;26.559;26.405;26.405;26.327;26.302;26.302
Republicano;20.421;21.020;21.020;21.149;21.149;22.185;22.426;22.426;23.326;23.370;23.370
Ev—poli;17.464;17.453;17.453;17.381;17.381;17.307;17.170;17.170;17.147;17.130;17.130
FRVS;14.243;14.255;14.255;14.230;14.230;14.219;14.202;14.202;14.245;14.287;14.287
Comunes;12.684;12.664;12.664;12.602;12.602;12.541;12.522;12.522;12.561;12.550;12.550
Partido Liberal;8.601;8.611;8.611;8.629;8.629;8.630;8.632;8.632;8.626;8.619;8.619
Acci—n Humanista;1.743;1.735;1.735;1.721;1.721;1.704;1.697;1.697;1.691;1.682;1.682
Partido Humanista;1.606;1.600;1.600;1.553;1.553;1.540;1.537;1.537;1.522;1.515;1.515
Partido Social Cristiano;0;3.108;3.108;4.564;4.564;4.525;4.520;4.520;5.938;7.012;7.012
Amarillos;0;0;0;0;0;2.437;2.432;2.432;2.902;2.866;8.132
Dem—cratas;0;0;0;0;0;0;2.517;2.517;2.488;2.486;6.775
Patria Progresista;0;0;0;0;0;0;0;0;3.533;3.513;3.513
P. Alianza Verde Popular;0;0;0;0;0;0;0;0;2.601;2.598;2.598
Popular;0;0;0;0;0;0;0;0;1.647;1.625;1.625
Igualdad;0;0;0;0;0;0;0;0;0;1.913;1.913
Sentido Comœn;0;0;0;0;0;0;0;0;0;2.627;2.627
