Partido;Femenino;Masculino;Total
COMUNISTA DE CHILE;21.123;24.759;45.882
PARTIDO DE LA GENTE;13.815;28.313;42.128
SOCIALISTA DE CHILE;20.070;20.242;40.312
RENOVACION NACIONAL;21.117;18.278;39.395
CONVERGENCIA SOCIAL;18.170;18.597;36.767
UNION DEMOCRATA INDEPENDIENTE;19.395;14.726;34.121
DEMOCRATA CRISTIANO;14.161;14.938;29.099
POR LA DEMOCRACIA;15.480;12.346;27.826
REVOLUCION DEMOCRATICA;13.205;13.419;26.624
RADICAL DE CHILE;12.987;13.366;26.353
REPUBLICANO DE CHILE;6.645;15.943;22.588
EVOLUCION POLITICA;7.094;10.057;17.151
FEDERACION REGIONALISTA VERDE;7.186;7.057;14.243
COMUNES;6.674;5.877;12.551
PARTIDO LIBERAL DE CHILE;3.662;4.965;8.627
PARTIDO SOCIAL CRISTIANO;3.068;2.400;5.468
PATRIA PROGRESISTA;2.097;1.464;3.561
MOVIMIENTO AMARILLOS POR CHILE;1.781;1.148;2.929
PARTIDO ALIANZA VERDE POPULAR;1.395;1.223;2.618
DEMOCRATAS CHILE;1.340;1.163;2.503
PARTIDO ACCION HUMANISTA;1.006;685;1.691
HUMANISTA;1.004;524;1.528
Total general;212.475;231.490;443.965
