Fecha Declaración;Nombre;Apellido Paterno;Apellido Materno;Cargo;Tipo Declaración;Institución
2019-04-05T00:00:00Z;HUMBERTO RAFAEL;BUROTTO;GUEVARA;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO DEMÓCRATA CRISTIANO
2019-02-03T00:00:00Z;TOMÁS ANDRÉS;FUENTES;BARROS;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);RENOVACIÓN NACIONAL
2022-04-17T00:00:00Z;LUIS ARTURO;SQUELLA;OVALLE;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO REPUBLICANO DE CHILE
2017-03-30T00:00:00Z;JAIME DANIEL;QUINTANA;LEAL;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO POR LA DEMOCRACIA
2018-03-28T00:00:00Z;DAVID OCTAVIO;GÓMEZ;CONTRERAS;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);AMPLITUD
2019-03-29T00:00:00Z;RODOLFO ANDRES;BAIER;ESTEBAN;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO RADICAL SOCIALDEMÓCRATA
2017-03-31T00:00:00Z;JAIME DANIEL;QUINTANA;LEAL;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO POR LA DEMOCRACIA
2018-10-07T00:00:00Z;MARCELA XIMENA;HERNANDO;PEREZ;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO RADICAL SOCIALDEMÓCRATA
2017-04-28T00:00:00Z;MARÍA SOLEDAD;CONCHA;DEZEREGA;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO COMUNISTA DE CHILE
2021-03-31T00:00:00Z;TOMÁS ANDRÉS;FUENTES;BARROS;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);RENOVACIÓN NACIONAL
